"File","Count","FullPath"
"dashboard\admin-dashboard.blade.php","112","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\dashboard\admin-dashboard.blade.php"
"admin\shops\shop-manager.blade.php","43","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\admin\shops\shop-manager.blade.php"
"admin\shops\sync-controller.blade.php","26","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\admin\shops\sync-controller.blade.php"
"admin\shops\import-manager.blade.php","25","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\admin\shops\import-manager.blade.php"
"admin\customization\partials\colors-tab.blade.php","22","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\admin\customization\partials\colors-tab.blade.php"
"admin\shops\add-shop.blade.php","14","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\admin\shops\add-shop.blade.php"
"admin\price-management\price-groups.blade.php","8","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\admin\price-management\price-groups.blade.php"
"admin\customization\partials\css-tab.blade.php","7","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\admin\customization\partials\css-tab.blade.php"
"admin\erp\erp-manager.blade.php","5","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\admin\erp\erp-manager.blade.php"
"admin\customization\partials\layout-tab.blade.php","4","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\admin\customization\partials\layout-tab.blade.php"
"admin\customization\partials\themes-tab.blade.php","4","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\admin\customization\partials\themes-tab.blade.php"
"products\categories\category-form.blade.php","3","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\products\categories\category-form.blade.php"
"admin\users\user-detail.blade.php","3","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\admin\users\user-detail.blade.php"
"admin\customization\partials\widgets-tab.blade.php","2","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\admin\customization\partials\widgets-tab.blade.php"
"admin\customization\partials\branding-tab.blade.php","2","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\admin\customization\partials\branding-tab.blade.php"
"products\categories\partials\enhanced-tree-node.blade.php","2","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\products\categories\partials\enhanced-tree-node.blade.php"
"products\categories\category-tree-ultra-clean.blade.php","2","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\products\categories\category-tree-ultra-clean.blade.php"
"products\categories\partials\tree-node.blade.php","1","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\products\categories\partials\tree-node.blade.php"
"products\categories\partials\enhanced-category-actions.blade.php","1","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\products\categories\partials\enhanced-category-actions.blade.php"
"admin\backup\backup-manager.blade.php","1","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\admin\backup\backup-manager.blade.php"
"auth\register.blade.php","1","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\auth\register.blade.php"
"admin\users\user-list.blade.php","1","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\admin\users\user-list.blade.php"
"products\listing\product-list.blade.php","1","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\products\listing\product-list.blade.php"
"admin\shops\bulk-export.blade.php","1","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\admin\shops\bulk-export.blade.php"
"admin\permissions\permission-matrix.blade.php","1","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\admin\permissions\permission-matrix.blade.php"
"auth\reset-password.blade.php","1","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\auth\reset-password.blade.php"
"profile\edit-profile.blade.php","1","D:\OneDrive - MPP TRADE\Skrypty\PPM-CC-Laravel\resources\views\livewire\profile\edit-profile.blade.php"
